GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
153,9693,153,6.62939,20,16,1,0.883389,2469,0,19,16,0.574851,4.35,297,1,0.640323,1,0.646,1,0.638554
154,9756,154,6.64144,20,16,1,0.89405,2485,0,19,16,0.575575,3.75,297,1,0.641484,1,0.648703,1,0.639113
155,9815,155,6.64194,20,16,1,0.903645,2501,0,19,16,0.575913,3.6,297,1,0.64246,1,0.648703,1,0.639839
156,9875,156,6.6291,20,16,1,0.91228,2517,0,19,16,0.576289,3.5,297,1,0.642952,1,0.648703,1,0.640404
157,9936,157,6.62082,20,16,1,0.920052,2533,0,19,16,0.575818,3.75,297,1,0.643275,1,0.648703,1,0.640404
158,9996,158,6.61202,20,16,1,0.927047,2549,0,19,16,0.57602,2.8,297,1,0.644373,1,0.648703,1,0.642424
159,10054,159,6.5951,20,16,1,0.933342,2565,0,19,16,0.576312,3.3,297,1,0.645228,1,0.652087,1,0.642715
160,10112,160,6.63737,20,16,1,0.939008,2581,0,19,16,0.576446,3.55,297,1,0.645845,1,0.652087,1,0.643863
161,10170,161,6.63602,20,16,1,0.846107,2597,0,19,16,0.576539,3.75,297,1,0.646211,1,0.652087,1,0.644444
162,10231,162,6.63803,20,16,1,0.860497,2613,0,19,16,0.57592,4.55,297,1,0.646531,1,0.652087,1,0.644578
163,10289,163,6.63265,20,16,1,0.860497,2628,0,20,16,0.575253,3.8,297,1,0.646986,1,0.652087,1,0.645418
164,10348,164,6.61387,20,16,1,0.873447,2643,0,21,16,0.575864,3.45,297,1,0.647462,1,0.652087,1,0.645875
165,10407,165,6.60119,20,16,1,0.885102,2658,0,22,16,0.575646,3.95,297,1,0.647603,1,0.652087,1,0.646
166,10465,166,6.60486,20,16,1,0.895592,2674,0,22,16,0.574949,4.5,297,1,0.64796,1,0.652087,1,0.646
167,10524,167,6.60052,20,16,1,0.905033,2690,0,22,16,0.57406,4.9,297,1,0.648131,1,0.652087,1,0.646465
168,10581,168,6.60964,20,16,1,0.913529,2706,0,22,16,0.573723,4.85,297,1,0.648489,1,0.652087,1,0.647295
169,10641,169,6.61577,20,16,1,0.921177,2722,0,22,16,0.573352,5.09524,297,1,0.648544,1,0.652087,1,0.647295
170,10700,170,6.57468,20,16,1,0.928059,2738,0,22,16,0.57413,4,297,1,0.649435,1,0.653465,1,0.64741
171,10757,171,6.58083,20,16,1,0.836253,2754,0,22,16,0.573327,4.6,297,1,0.649464,1,0.653465,1,0.648
172,10813,172,6.55953,20,16,1,0.851628,2770,0,22,16,0.574206,3.35,297,1,0.650451,1,0.654076,1,0.648703
173,10869,173,6.57385,20,16,1,0.865465,2786,0,22,16,0.573251,3.95,297,1,0.650491,1,0.654076,1,0.648703
174,10925,174,6.54841,20,16,1,0.877918,2802,0,22,16,0.573433,3.15,297,1,0.651354,1,0.654832,1,0.649402
175,10981,175,6.5485,20,16,1,0.791127,2818,0,22,16,0.573449,3.5,297,1,0.651797,1,0.654832,1,0.649402
176,11037,176,6.55126,20,16,1,0.811014,2834,0,22,16,0.573923,3.4,297,1,0.652362,1,0.654832,1,0.650794
177,11093,177,6.55826,20,16,1,0.828913,2850,0,22,16,0.573785,4.25,297,1,0.65263,1,0.654832,1,0.651394
178,11148,178,6.56446,20,16,1,0.845021,2866,0,22,16,0.574169,3.2,297,1,0.653536,1,0.658103,1,0.652087
179,11203,179,6.54709,20,16,1,0.859519,2882,0,22,16,0.57418,3.6,297,1,0.653811,1,0.658103,1,0.652695
180,11259,180,6.5627,20,16,1,0.872567,2898,0,22,16,0.574562,3.4,297,1,0.654178,1,0.658103,1,0.65286
181,11314,181,6.57371,20,16,1,0.884311,2914,0,22,16,0.574678,3.25,297,1,0.654468,1,0.658103,1,0.653465
182,11369,182,6.57776,20,16,1,0.894879,2930,0,22,16,0.574884,3.55,297,1,0.65496,1,0.658103,1,0.653465
183,11426,183,6.58328,20,16,1,0.904392,2946,0,22,16,0.574142,4.4,297,1,0.655124,1,0.658103,1,0.653465
184,11482,184,6.58942,20,16,1,0.814952,2962,0,22,16,0.573218,4.6,297,1,0.655154,1,0.658103,1,0.653465
185,11536,185,6.59569,20,16,1,0.832457,2978,0,22,16,0.573745,3.85,297,1,0.655711,1,0.658103,1,0.654691
186,11592,186,6.59747,20,16,1,0.848211,2994,0,22,16,0.573156,4.8,297,1,0.655848,1,0.658103,1,0.654691
187,11648,187,6.60003,20,16,1,0.86239,3010,0,22,16,0.573853,4.3,297,1,0.656918,1,0.664032,1,0.654762
188,11703,188,6.61198,20,16,1,0.875151,3026,0,22,16,0.573521,3.55,297,1,0.657306,1,0.664032,1,0.654832
189,11758,189,6.5725,20,16,1,0.886636,3042,0,22,16,0.573103,3.7,297,1,0.657905,1,0.664032,1,0.656064
190,11813,190,6.59279,20,16,1,0.896973,3057,0,23,16,0.573351,3.9,297,1,0.658467,1,0.664032,1,0.656746
191,11869,191,6.60046,20,16,1,0.906275,3073,0,23,16,0.573562,4.2,297,1,0.659658,1,0.666667,1,0.656746
192,11925,192,6.62175,20,16,1,0.914648,3089,0,23,16,0.573891,3.3,297,1,0.660246,1,0.666667,1,0.657426
193,11981,193,6.58114,20,16,1,0.922183,3105,0,23,16,0.573689,3.45,297,1,0.661136,1,0.666667,1,0.658683
194,12037,194,6.542,20,16,1,0.928965,3121,0,23,16,0.574236,3.55,297,1,0.662394,1,0.668639,1,0.659363
195,12094,195,6.54217,20,16,1,0.935068,3137,0,23,16,0.573634,4.1,297,1,0.662761,1,0.668639,1,0.659363
196,12151,196,6.54057,20,16,1,0.940561,3153,0,23,16,0.573408,3.8,297,1,0.663389,1,0.668639,1,0.66004
197,12207,197,6.54697,20,16,1,0.847505,3169,0,23,16,0.57267,4.1,297,1,0.663356,1,0.668639,1,0.66004
198,12263,198,6.48951,20,16,1,0.861755,3185,0,23,16,0.572986,4.3,297,1,0.664352,1,0.668639,1,0.662028
199,12318,199,6.49457,20,16,1,0.874579,3201,0,23,16,0.572956,4.15,297,1,0.664949,1,0.668639,1,0.662698
200,12374,200,6.47327,20,16,1,0.886121,3216,0,24,16,0.573475,4.25,297,1,0.665873,1,0.669291,1,0.663366
201,12375,200,6.47327,20,16,1,0.886121,3216,0,24,16,0.573475,4.25,297,1,0.665873,1,0.669291,1,0.663366
